Rank,Name,Age,YTD,Singles,Doubles,Career
166,Luca Van Assche,21,262373.0,262099.0,274.0,2137962.0
167,Nishesh Basavareddy,20,787813.0,787523.0,290.0,1111751.0
168,Rafael Jodar,19,303614.0,303614.0,0.0,309133.0
169,Vitaliy Sachko,28,193702.0,172170.0,21532.0,620178.0
170,Nicolas Mejia,25,135086.0,123136.0,11950.0,377860.0
171,Alex Bolt,32,263330.0,262124.0,1206.0,2031625.0
172,Roman Safiullin,28,764056.0,741826.0,22230.0,4000757.0
173,Elias Ymer,29,174025.0,172132.0,1893.0,2223149.0
174,Martin Damm,22,216430.0,214458.0,1972.0,538487.0
175,Jay Clarke,27,236120.0,229407.0,6713.0,1127706.0
176,Jurij Rodionov,26,256309.0,246919.0,9390.0,1514410.0
177,Hugo Grenier,29,246579.0,243581.0,2998.0,1545050.0
178,Zdenek Kolar,29,103177.0,84953.0,18224.0,1173555.0
179,Leandro Riedi,23,524667.0,524069.0,598.0,1044653.0
180,Tristan Boyer,24,581817.0,560537.0,21280.0,854698.0
181,Yibing Wu,26,256993.0,254218.0,2775.0,1453973.0
182,Dane Sweeny,24,100536.0,94646.0,5890.0,585353.0
183,Federico Agustin Gomez,29,432517.0,407107.0,25410.0,646853.0
184,Rei Sakamoto,19,201038.0,190358.0,10680.0,245200.0
185,Daniel Evans,35,413338.0,402022.0,11316.0,9257216.0
186,Justin Engel,18,397079.0,369450.0,27629.0,440206.0
187,Jerome Kym,22,411559.0,402695.0,8864.0,641968.0
188,Michael Zheng,21,110650.0,106910.0,3740.0,192007.0
189,Arthur Fery,23,205794.0,205633.0,161.0,539368.0
190,August Holmgren,27,388463.0,383332.0,5131.0,514375.0
191,Alex Barrena,23,99957.0,98533.0,1424.0,163827.0
192,Bernard Tomic,33,244793.0,231225.0,13568.0,6650819.0
193,James McCabe,22,389120.0,388075.0,1045.0,682177.0
194,Stefano Travaglia,34,129886.0,121993.0,7893.0,2585554.0
195,Jason Kubler,32,216771.0,191282.0,25489.0,2692510.0
196,Alvaro Guillen Meza,22,148842.0,143900.0,4942.0,270505.0
197,Thiago Monteiro,31,387803.0,387803.0,0.0,4320125.0
198,Daniil Glinka,25,64761.0,64761.0,0.0,125820.0
199,Sascha Gueymard Wayenburg,22,161765.0,160446.0,1319.0,324083.0
200,Oliver Crawford,26,209593.0,209593.0,0.0,495795.0
201,Dan Added,26,95119.0,79973.0,15146.0,414494.0
202,Clement Tabur,25,192887.0,190445.0,2442.0,439087.0
203,Jack Pinnington Jones,22,242699.0,240499.0,2200.0,341236.0
204,Alex Molcan,28,70290.0,70290.0,0.0,2307744.0
205,Alexis Galarneau,26,266010.0,253820.0,12190.0,653871.0
206,Mitchell Krueger,31,384344.0,370205.0,14139.0,1888684.0
207,Joao Lucas Reis Da Silva,25,114483.0,106649.0,7834.0,291623.0
208,Gilles Arnaud Bailly,20,64524.0,64157.0,367.0,113176.0
209,Chris Rodesch,24,210743.0,208592.0,2151.0,260426.0
210,Juan Carlos Prado Angelo,20,86049.0,79936.0,6113.0,141350.0
211,George Loffhagen,24,188026.0,188026.0,0.0,362031.0
212,Facundo Diaz Acosta,25,254615.0,254615.0,0.0,1447597.0
213,Pablo Llamas Ruiz,23,291709.0,285021.0,6688.0,583781.0
214,Lorenzo Giustino,34,75184.0,74737.0,447.0,1012499.0
215,Gonzalo Bueno,21,84669.0,82261.0,2408.0,187561.0
216,Murphy Cassone,23,185385.0,182613.0,2772.0,247480.0
217,Thiago Seyboth Wild,25,374809.0,374809.0,0.0,2258358.0
218,Luka Pavlovic,25,192330.0,187807.0,4523.0,253859.0
