player name,age,YTD,singles,doubles
Tomas Martin Etcheverry,26,1460283.0,1352402.0,107881.0
Sebastian Baez,25,1456361.0,1389186.0,67175.0
Christopher Eubanks,27,1455211.0,1384763.0,70448.0
Pierre-Hugues Herbert,25,1453304.0,405112.0,1048192.0
Nuno Borges,27,1453053.0,1375761.0,77292.0
Fabian Marozsan,26,1445209.0,1396753.0,48456.0
Giovanni Mpetshi Perricard,21,1443482.0,1397441.0,46041.0
Zizou Bergs,26,1435594.0,1382401.0,53193.0
Fabio Fognini,30,1429055.0,1304964.0,124091.0
Brandon Nakashima,23,1419129.0,1391107.0,28022.0
Adrian Mannarino,36,1415012.0,1308732.0,106280.0
Jack Sock,23,1413560.0,902175.0,511385.0
Cristian Garin,26,1413284.0,1408343.0,4941.0
Milos Raonic,26,1409446.0,1405103.0,4343.0
Jan-Lennard Struff,34,1408984.0,1309920.0,99064.0
Fernando Verdasco,34,1399586.0,1221155.0,178431.0
Pablo Carreno Busta,28,1398997.0,1301797.0,97200.0
Jeremy Chardy,32,1395185.0,971178.0,424007.0
Nick Kyrgios,24,1384572.0,1312870.0,71702.0
Miomir Kecmanovic,26,1382732.0,1323725.0,59007.0
Richard Gasquet,32,1381694.0,1366584.0,15110.0
Sebastian Korda,25,1376445.0,1182353.0,194092.0
Frances Tiafoe,21,1375737.0,1366632.0,9105.0
David Ferrer,34,1374484.0,1356929.0,17555.0
Alexander Zverev,19,1371329.0,1324084.0,47245.0
Pablo Carreno Busta,25,1362033.0,990823.0,371210.0
Marin Cilic,31,1359590.0,1344292.0,15298.0
Nicolas Mahut,35,1355714.0,608164.0,747550.0
Alexei Popyrin,24,1355482.0,1300830.0,54652.0
Nicolas Mahut,37,1355053.0,279008.0,1076045.0
Miomir Kecmanovic,25,1354634.0,1306225.0,48409.0
Sebastian Baez,22,1346450.0,1252472.0,93978.0
Marcos Giron,32,1346209.0,1286363.0,59846.0
Gilles Muller,34,1341306.0,1227494.0,113812.0
Lucas Pouille,24,1339275.0,1260218.0,79057.0
Vasek Pospisil,25,1337584.0,856814.0,480770.0
Ryan Harrison,25,1336784.0,780131.0,556653.0
Andrey Rublev,20,1336027.0,1296168.0,39859.0
Adrian Mannarino,29,1333177.0,1279672.0,53505.0
Alex Michelsen,20,1331687.0,1192328.0,139359.0
Richard Gasquet,30,1325659.0,1302037.0,23622.0
Fabian Marozsan,25,1321800.0,1270317.0,51483.0
Lorenzo Sonego,28,1313408.0,1270396.0,43012.0
Laslo Djere,28,1313279.0,1286152.0,27127.0
Pedro Martinez,28,1305228.0,1110036.0,195192.0
Gael Monfils,38,1305034.0,1305034.0,0.0
Jordan Thompson,31,1299785.0,1028560.0,271225.0
Fernando Verdasco,36,1293590.0,1205500.0,88090.0
Botic van de Zandschulp,28,1292756.0,1093151.0,199605.0
Milos Raonic,29,1291082.0,1277207.0,13875.0
Philipp Kohlschreiber,35,1287751.0,1226421.0,61330.0
Feliciano Lopez,38,1283705.0,1054528.0,229177.0
Roberto Bautista Agut,27,1275439.0,1249406.0,26033.0
Taylor Fritz,22,1275240.0,1170678.0,104562.0
Ivo Karlovic,37,1272678.0,1267349.0,5329.0
Cameron Norrie,29,1271422.0,1263998.0,7424.0
Giovanni Mpetshi Perricard,22,1271143.0,1183294.0,87849.0
Yoshihito Nishioka,28,1269979.0,1224203.0,45776.0
Gael Monfils,32,1269851.0,1245866.0,23985.0
David Goffin,32,1269844.0,1268574.0,1270.0
Jan-Lennard Struff,28,1267772.0,918302.0,349470.0
Karen Khachanov,21,1258619.0,1157784.0,100835.0
Gilles Simon,31,1258309.0,1209501.0,48808.0
Alex de Minaur,19,1252959.0,1229030.0,23929.0
Alexander Bublik,25,1252206.0,1134816.0,117390.0
Damir Dzumhur,26,1243088.0,1108420.0,134668.0
Arthur Fils,19,1241204.0,1203404.0,37800.0
Albert Ramos-Vinolas,28,1239704.0,1180393.0,59311.0
Alejandro Davidovich Fokina,25,1239151.0,1217056.0,22095.0
Marcel Granollers,30,1238119.0,867769.0,370350.0
Matteo Arnaldi,24,1233978.0,1198472.0,35506.0
Viktor Troicki,30,1233410.0,1092008.0,141402.0
Joao Sousa,29,1233370.0,1033433.0,199937.0
Lorenzo Sonego,29,1228897.0,1169347.0,59550.0
Hubert Hurkacz,22,1228731.0,1169651.0,59080.0
Stan Wawrinka,38,1227892.0,1185643.0,42249.0
Joao Sousa,30,1223400.0,951347.0,272053.0
Matteo Berrettini,29,1222092.0,1178756.0,43336.0
Laslo Djere,24,1221097.0,1186499.0,34598.0
Jan-Lennard Struff,35,1220713.0,1179841.0,40872.0
Daniel Altmaier,25,1215139.0,1192030.0,23109.0
Reilly Opelka,28,1212298.0,1206053.0,6245.0
Philipp Kohlschreiber,34,1210571.0,1171269.0,39302.0
Lorenzo Sonego,27,1210391.0,1087388.0,123003.0
Roman Safiullin,26,1206740.0,1183000.0,23740.0
Quentin Halys,29,1204883.0,1101440.0,103443.0
Simone Bolelli,30,1203488.0,634088.0,569400.0
Fabio Fognini,35,1199767.0,875606.0,324161.0
Adrian Mannarino,30,1195942.0,1115101.0,80841.0
Gilles Simon,35,1195470.0,1151769.0,43701.0
Robin Haase,31,1195354.0,942335.0,253019.0
Camilo Ugo Carabelli,26,1193740.0,1107687.0,86053.0
Feliciano Lopez,37,1190793.0,824652.0,366141.0
Pierre-Hugues Herbert,26,1190783.0,548422.0,642361.0
Bernard Tomic,23,1188195.0,1158571.0,29624.0
Sam Querrey,31,1186361.0,1028867.0,157494.0
Benjamin Bonzi,29,1181578.0,1094928.0,86650.0
Emil Ruusuvuori,24,1180531.0,1141161.0,39370.0
Francisco Cerundolo,24,1179166.0,1113269.0,65897.0
Viktor Troicki,29,1179128.0,1079166.0,99962.0
Bernard Tomic,24,1174235.0,1085126.0,89109.0
Andrey Rublev,21,1170921.0,1029862.0,141059.0
Cristian Garin,23,1170459.0,1101786.0,68673.0
Denis Shapovalov,25,1168029.0,1138879.0,29150.0
Robin Haase,30,1166634.0,1036252.0,130382.0
Gilles Simon,34,1159829.0,1141864.0,17965.0
Andrea Vavassori,29,1159343.0,199530.0,959813.0
Marcos Giron,31,1157536.0,1111370.0,46166.0
Adrian Mannarino,37,1157288.0,1131766.0,25522.0
