,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
115,"Montanes, Albert","$5,650,964","$161,420","$151,193","$10,227"
116,"Tursunov, Dmitry","$5,577,082","$21,019","$1,263","$19,756"
117,"Mathieu, Paul-Henri","$5,574,523","$292,030","$287,740","$4,290"
118,"Gilbert, Brad","$5,509,060",$0,$0,$0
119,"Mayer, Florian","$5,464,940","$258,511","$226,622","$31,889"
120,"Jarryd, Anders","$5,378,067",$0,$0,$0
121,"Mahut, Nicolas","$5,374,754","$1,045,008","$444,016","$600,992"
122,"Dolgopolov, Alexandr","$5,370,636","$749,741","$740,971","$8,770"
123,"Sanchez, Emilio","$5,339,395",$0,$0,$0
124,"Mantilla, Felix","$5,332,214",$0,$0,$0
125,"Canas, Guillermo","$5,285,575",$0,$0,$0
126,"Wheaton, David","$5,238,401",$0,$0,$0
127,"Pavel, Andrei","$5,225,028",$0,$0,$0
128,"Schalken, Sjeng","$5,192,798",$0,$0,$0
129,"Black, Byron","$5,159,775",$0,$0,$0
130,"Kucera, Karol","$5,061,125",$0,$0,$0
131,"Spadea, Vincent","$5,004,680",$0,$0,$0
132,"Vilas, Guillermo","$4,923,882",$0,$0,$0
Page 3 of 483,Statistics/ Prize Money/ Career,,,Report as of,"Nov 15, 2015"
,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
133,"Eltingh, Jacco","$4,920,410",$0,$0,$0
134,"Rochus, Olivier","$4,905,754",$0,$0,$0
135,"Vacek, Daniel","$4,803,388",$0,$0,$0
136,"Kubot, Lukasz","$4,696,631","$277,761","$40,327","$237,434"
137,"Berasategui, Alberto","$4,676,187",$0,$0,$0
138,"Dodig, Ivan","$4,601,571","$924,612","$267,033","$657,579"
139,"Gustafsson, Magnus","$4,545,489",$0,$0,$0
140,"Norman, Magnus","$4,537,247",$0,$0,$0
141,"Andreev, Igor","$4,510,376",$0,$0,$0
142,"Sanchez, Javier","$4,427,811",$0,$0,$0
143,"Reneberg, Richey","$4,407,308",$0,$0,$0
144,"Gomez, Andres","$4,385,130",$0,$0,$0
145,"Siemerink, Jan","$4,347,693",$0,$0,$0
146,"Massu, Nicolas","$4,343,298",$0,$0,$0
147,"Hanescu, Victor","$4,323,925","$52,414","$51,013","$1,401"
148,"Leach, Rick","$4,293,554",$0,$0,$0
149,"Clavet, Francisco","$4,271,881",$0,$0,$0
