# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
"773 ","Mu, Tao","$13,432 ","$12,430 ","$1,002","$21,591"
"774 ","Chazal, Maxime","$13,428 ","$12,782 ",$646,"$163,085"
"775 ","Tabacco, Giorgio","$13,402 ","$11,213 ","$2,189","$16,743"
"776 ","Andrade, Andres","$13,394 ","$9,821 ","$3,573","$17,629"
"777 ","Vale, Duarte","$13,333 ","$10,203 ","$3,130","$29,752"
"778 ","Nakagawa, Naoki","$13,282 ","$12,922 ",$360,"$67,142"
"779 ","Kielan, Szymon","$13,239 ","$8,669 ","$4,570","$17,020"
"780 ","Prizmic, Dino","$13,208 ","$12,559 ",$649,"$13,964"
"781 ","Iannaccone, Federico","$13,192 ","$10,262 ","$2,930","$34,929"
"782 ","Gomez-Herrera, Carlos","$13,189 ","$10,748 ","$2,441","$197,028"
"783 ","Galarza, Juan Ignacio","$13,163 ","$6,865 ","$6,298","$129,405"
"784 ","Rubin, Noah","$13,127 ","$12,922 ",$205,"$807,765"
"785 ","Sandkaulen, Tim","$12,984 ","$5,420 ","$7,564","$16,506"
"786 ","Robredo, Tommy","$12,940 ","$12,940 ",$0,"$13,467,681"
"787 ","Watanabe, Seita","$12,857 ","$5,668 ","$7,189","$22,880"
"788 ","Ouakaa, Aziz","$12,829 ","$7,404 ","$5,425","$48,157"
"789 ","Gomez, Juan Sebastian","$12,781 ","$8,519 ","$4,262","$108,092"
"790 ","Gomez, Federico Agustin","$12,778 ","$10,464 ","$2,314","$18,467"
"791 ","Zormann, Marcelo","$12,723 ","$6,086 ","$6,637","$69,042"
"792 ","Jones, Maximus","$12,688 ","$6,508 ","$6,180","$13,858"
"Page 18 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"793 ","Compagnucci, Tommaso","$12,665 ","$9,934 ","$2,731","$15,901"
"794 ","Lee, Duckhee","$12,630 ","$11,844 ",$786,"$418,841"
"795 ","Monday, Johannus","$12,624 ","$9,471 ","$3,153","$13,064"
"796 ","Handel, Tim","$12,593 ","$10,580 ","$2,013","$28,442"
"797 ","Fayziev, Sanjar","$12,534 ","$2,693 ","$9,841","$153,887"
"798 ","Kravchuk, Konstantin","$12,507 ","$12,051 ",$456,"$1,187,840"
"799 ","Madarasz, Gergely","$12,492 ","$12,132 ",$360,"$42,809"
"800 ","Kim, Cheong-Eui","$12,385 ","$9,106 ","$3,279","$136,027"
"801 ","Biljesko, Domagoj","$12,373 ","$8,000 ","$4,373","$41,154"
"802 ","Singh, Digvijaypratap","$12,365 ","$11,081 ","$1,284","$15,584"
"803 ","Prechtel, Sebastian","$12,229 ","$11,331 ",$898,"$48,626"
"804 ","Lock, Courtney John","$12,217 ","$1,870 ","$10,347","$38,821"
"805 ","Nijboer, Ryan","$12,175 ","$7,415 ","$4,760","$72,625"
"806 ","Vidal Azorin, Jose Fco.","$12,174 ","$10,866 ","$1,308","$89,371"
"807 ","Romios, Matthew Christopher","$12,146 ","$5,988 ","$6,158","$48,267"
"808 ","Sekiguchi, Shuichi","$12,101 ","$10,356 ","$1,745","$198,542"
"809 ","Jones, Ben","$12,076 ","$5,610 ","$6,466","$25,241"
"810 ","Holmgren, August","$12,016 ","$10,356 ","$1,660","$22,715"
"811 ","Elsayed, Amr","$12,011 ","$9,311 ","$2,700","$17,207"
"812 ","Park, Uisung","$11,990 ","$9,503 ","$2,487","$25,580"
"813 ","Angele, Jaimee Floyd","$11,941 ","$11,095 ",$846,"$51,569"
"814 ","Haerteis, Johannes","$11,913 ","$9,100 ","$2,813","$107,016"
"815 ","Te, Rigele","$11,871 ","$10,350 ","$1,521","$95,057"
"816 ","Ivanovski, Kalin","$11,861 ","$10,295 ","$1,566","$14,413"
"817 ","Tiurnev, Evgenii","$11,843 ","$8,682 ","$3,161","$185,922"
"818 ","Farjat, Tomas","$11,723 ","$8,653 ","$3,070","$29,883"
"819 ","Jorda Sanchis, David","$11,722 ","$10,320 ","$1,402","$48,016"
"820T ","Johnson, Luke","$11,658 ","$1,800 ","$9,858","$88,534"
"820T ","McCormick, Tristan","$11,658 ","$8,687 ","$2,971","$14,932"
"822 ","Matuszewski, Piotr","$11,608 ","$1,120 ","$10,488","$44,469"
"823 ","Samuel, Toby","$11,589 ","$10,424 ","$1,165","$11,847"
"824 ","Lilov, Victor","$11,541 ","$9,819 ","$1,722","$19,200"
"825 ","Bax, Florent","$11,442 ","$9,134 ","$2,308","$22,373"
"826 ","Aguilar, Juan Carlos","$11,439 ","$9,583 ","$1,856","$25,584"
"827T ","Beauge, Maxence","$11,425 ","$9,495 ","$1,930","$29,474"
"827T ","Bielinskyi, Viacheslav","$11,425 ","$9,879 ","$1,546","$12,613"
"829 ","Gorzny, Sebastian","$11,392 ","$742 ","$10,650","$11,392"
"830 ","Soto, Matias","$11,361 ","$9,861 ","$1,500","$21,683"
"831 ","Mayo, Aidan","$11,323 ","$9,773 ","$1,550","$13,083"
"832 ","Imamura, Masamichi","$11,273 ","$6,972 ","$4,301","$17,595"
"833 ","Zanellato, Nicolas","$11,244 ","$9,345 ","$1,899","$14,736"
"834 ","Li, Zhe","$11,216 ","$8,764 ","$2,452","$748,947"
"835 ","Barrena, Alex","$11,195 ","$9,240 ","$1,955","$19,654"
"836 ","Perez Contri, Sergi","$11,160 ","$7,813 ","$3,347","$38,471"
"Page 19 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"837 ","Trotter, James","$11,113 ","$7,666 ","$3,447","$15,943"
"838 ","Libietis, Mikelis","$11,097 ","$0 ","$11,097","$56,046"
"839 ","Pujol Navarro, Bruno","$11,081 ","$7,125 ","$3,956","$18,997"
"840 ","Bernard, Alexander","$11,072 ","$9,850 ","$1,222","$14,678"
"841 ","Echeverria, John","$11,054 ","$7,903 ","$3,151","$22,868"
"842 ","Egea, Franco Emanuel","$11,039 ","$7,764 ","$3,275","$65,501"
"843 ","Popovic, Stefan","$11,037 ","$9,506 ","$1,531","$12,027"
"844 ","Cervantes, Inigo","$11,023 ","$4,222 ","$6,801","$1,092,957"
"845 ","Deckers, Alec","$10,994 ","$10,580 ",$414,"$18,845"
"846 ","Simon, Sahar","$10,991 ","$9,791 ","$1,200","$17,336"
"847 ","Harper, Cleeve","$10,968 ","$2,252 ","$8,716","$13,311"
"848 ","Sorrentino, Luigi","$10,950 ","$8,472 ","$2,478","$26,251"
"849 ","Klok, Denis","$10,921 ","$8,032 ","$2,889","$52,579"
"850 ","Riffice, Sam","$10,858 ","$9,868 ",$990,"$128,047"
"851 ","Petrovic, Andreja","$10,807 ","$753 ","$10,054","$11,833"
"852 ","Nesterov, Petr","$10,792 ","$6,654 ","$4,138","$12,616"
"853 ","Kypson, Patrick","$10,791 ","$10,471 ",$320,"$111,317"
"854 ","Samrej, Kasidit","$10,789 ","$9,434 ","$1,355","$17,317"
"855 ","O'Hoisin, Osgar","$10,781 ","$7,966 ","$2,815","$17,312"
"856 ","Fajta, Peter","$10,771 ","$10,017 ",$754,"$26,963"
"857 ","Boulais, Justin","$10,745 ","$8,486 ","$2,259","$18,897"
"858 ","Manzanera Pertusa, Alejandro","$10,738 ","$7,166 ","$3,572","$13,274"
"859 ","Atlangeriev, Bekkhan","$10,648 ","$8,625 ","$2,023","$17,050"
"860 ","Mansilla Diez, Mario","$10,633 ","$5,363 ","$5,270","$18,554"
"861 ","Van Wyk, Kris","$10,584 ","$9,080 ","$1,504","$12,770"
"862 ","Balzerani, Riccardo","$10,571 ","$9,613 ",$958,"$76,179"
"863 ","Chandrasekar, Anirudh","$10,565 ","$619 ","$9,946","$34,813"
"864 ","Butulija, Boris","$10,503 ","$8,044 ","$2,459","$25,453"
"865 ","Paris, Joshua","$10,454 ","$4,372 ","$6,082","$38,462"
"866 ","Glinka, Daniil","$10,453 ","$8,124 ","$2,329","$26,343"
"867 ","Rawat, Sidharth","$10,438 ","$9,729 ",$709,"$85,019"
"868T ","Lee, Jea Moon","$10,353 ","$8,301 ","$2,052","$32,675"
"868T ","Miceli, Marco","$10,353 ","$8,609 ","$1,744","$39,028"
"870 ","Merino, Alexander","$10,332 ","$1,889 ","$8,443","$51,464"
"871 ","Chidekh, Clement","$10,329 ","$9,238 ","$1,091","$21,499"
"872 ","Moundir, Adam","$10,320 ","$7,611 ","$2,709","$40,701"
"873 ","Krainer, Lukas","$10,296 ","$8,908 ","$1,388","$26,430"
"874 ","Uzhylovskyi, Volodoymyr","$10,289 ","$3,689 ","$6,600","$103,075"
"875 ","Negritu, Christoph","$10,259 ","$7,346 ","$2,913","$71,047"
"876 ","Ivanov, Simon Anthony","$10,256 ","$7,835 ","$2,421","$26,409"
"877 ","Beckley, Alec","$10,234 ","$7,943 ","$2,291","$16,661"
"878 ","Blanch, Dali","$10,202 ","$7,621 ","$2,581","$17,320"
"879 ","McNally, John","$10,112 ","$6,607 ","$3,505","$53,316"
"880 ","Barnat, Jiri","$10,109 ","$6,992 ","$3,117","$14,969"
"Page 20 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"881 ","Taylor, Jason","$10,081 ","$568 ","$9,513","$32,410"
"882 ","Kirci, Koray","$10,077 ","$7,641 ","$2,436","$37,188"
"883 ","Haliak, Mikalai","$10,024 ","$7,396 ","$2,628","$39,967"
"884 ","Harrison, Ryan","$10,018 ","$10,018 ",$0,"$4,806,463"
"885 ","Vardhan, Vishnu","$9,965 ","$2,412 ","$7,553","$253,723"
"886 ","Klier Junior, Gilbert","$9,950 ","$9,290 ",$660,"$51,164"
"887 ","Yamacita, Fernando","$9,931 ","$7,575 ","$2,356","$34,712"
"888 ","Kingsley, Cannon","$9,877 ","$8,783 ","$1,094","$26,971"
"889 ","Fuele, Matyas","$9,874 ","$9,354 ",$520,"$18,019"
"890 ","Florig, Philip","$9,849 ","$6,854 ","$2,995","$10,558"
"891 ","Guillen Meza, Alvaro","$9,836 ","$7,619 ","$2,217","$15,684"
"892 ","Heyman, Christopher","$9,834 ","$8,933 ",$901,"$130,736"
"893 ","Perchicot, Matthieu","$9,733 ","$8,962 ",$771,"$66,950"
"894 ","Cungu, Rrezart","$9,732 ","$8,252 ","$1,480","$24,669"
"895 ","Rottoli, Lorenzo","$9,679 ","$7,389 ","$2,290","$17,076"
"896 ","Vasa, Eero","$9,662 ","$4,191 ","$5,471","$25,207"
"897 ","Pinnington Jones, Jack","$9,659 ","$9,209 ",$450,"$36,850"
"898 ","Breysach, Martin","$9,626 ","$4,593 ","$5,033","$21,337"
"899 ","Saitoh, Keisuke","$9,580 ","$7,804 ","$1,776","$15,025"
"900 ","Jahn, Jeremy","$9,555 ","$8,727 ",$828,"$163,599"
"901 ","Tomescu, Dan Alexandru","$9,525 ","$6,324 ","$3,201","$32,678"
"902 ","Coelho, Fabio","$9,516 ","$4,890 ","$4,626","$27,255"
"903 ","Vilardo, Francesco","$9,498 ","$5,917 ","$3,581","$106,861"
"904 ","Dev, S D Prajwal","$9,478 ","$7,283 ","$2,195","$30,417"
"905 ","Niki, Takuto","$9,437 ","$5,947 ","$3,490","$176,596"
"906 ","Roncalli, Simone","$9,435 ","$9,435 ",$0,"$55,724"
"907 ","Skorilas, Alexandros","$9,400 ","$6,006 ","$3,394","$29,732"
"908 ","Siniakov, Daniel","$9,394 ","$5,904 ","$3,490","$15,803"
"909 ","Tajima, Naoki","$9,370 ","$4,808 ","$4,562","$37,806"
"910 ","Freund, Simon","$9,362 ","$3,230 ","$6,132","$35,081"
"911 ","Bielinskyi, Oleksandr","$9,360 ","$6,022 ","$3,338","$25,958"
"912 ","Weber, Arthur","$9,350 ","$8,572 ",$778,"$12,620"
"913 ","Ichikawa, Taisei","$9,300 ","$5,803 ","$3,497","$21,354"
"914T ","Naw, Hazem","$9,292 ","$8,226 ","$1,066","$15,222"
"914T ","Sanchez, Luca","$9,292 ","$525 ","$8,767","$11,909"
"916 ","Chung, Hyeon","$9,265 ","$0 ","$9,265","$3,700,212"
"917 ","Bailly, Gilles Arnaud","$9,263 ","$9,049 ",$214,"$9,263"
"918 ","Mertens, Yannick","$9,251 ","$6,778 ","$2,473","$528,004"
"919T ","Fernandez Flores, Diego","$9,234 ","$7,106 ","$2,128","$21,930"
"919T ","Voisin, Emilien","$9,234 ","$8,304 ",$930,"$14,975"
"921 ","Danilov, Savriyan","$9,181 ","$7,930 ","$1,251","$39,207"
"922 ","Karol, Milos","$9,167 ","$4,412 ","$4,755","$17,006"
"923 ","Zink, Tyler","$9,074 ","$4,998 ","$4,076","$26,226"
"924 ","Kimhi, Orel","$9,047 ","$7,781 ","$1,266","$10,285"
"Page 21 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"925 ","March, Cayetano","$9,044 ","$6,826 ","$2,218","$36,820"
"926 ","Weekes, Jaden","$9,037 ","$8,173 ",$864,"$9,037"
"927 ","Roncadelli, Franco","$9,029 ","$6,604 ","$2,425","$23,687"
"928 ","Sharipov, Marat","$9,025 ","$5,286 ","$3,739","$13,324"
"929 ","Ellis, Blake","$9,024 ","$5,135 ","$3,889","$108,467"
"930 ","Prashanth, N Vijay Sundar","$9,015 ","$416 ","$8,599","$132,312"
"931 ","Loureiro, Joao Victor Couto","$9,011 ","$5,949 ","$3,062","$12,763"
"932 ","Battaglino, Stefano","$9,007 ","$6,361 ","$2,646","$25,163"
"933 ","Berrettini, Jacopo","$9,001 ","$6,233 ","$2,768","$83,051"
"934 ","Rodriguez - Pace, Ricardo","$9,000 ","$6,513 ","$2,487","$125,803"
"935 ","Bouzige, Moerani","$8,985 ","$7,417 ","$1,568","$19,719"
"936 ","Shelbayh, Abedallah","$8,984 ","$8,328 ",$656,"$13,163"
"937 ","Nejedly, Pavel","$8,942 ","$8,415 ",$527,"$65,491"
"938 ","Tomasetto, Luca","$8,933 ","$7,957 ",$976,"$24,767"
"939 ","Wong, Chak Lam Coleman","$8,909 ","$6,175 ","$2,734","$13,408"
"940 ","Buitrago, Nicolas","$8,905 ","$6,905 ","$2,000","$11,095"
"941T ","Boehler, Dominik","$8,889 ","$8,211 ",$678,"$54,004"
"941T ","Zima, Leopold","$8,889 ","$7,100 ","$1,789","$17,875"
"943 ","Gadamauri, Buvaysar","$8,887 ","$6,632 ","$2,255","$17,216"
"944 ","Deschamps, Thomas","$8,877 ","$8,529 ",$348,"$12,569"
"945 ","Frawley, James","$8,866 ","$950 ","$7,916","$41,264"
"946 ","Manda, Calin","$8,840 ","$7,596 ","$1,244","$37,321"
"947 ","Jans, Jarno","$8,805 ","$5,321 ","$3,484","$10,101"
"948 ","Mitsui, Shunsuke","$8,764 ","$6,416 ","$2,348","$9,952"
"949 ","Moeller, Marvin","$8,759 ","$8,584 ",$175,"$67,734"
"950 ","Patino, Luis","$8,757 ","$5,625 ","$3,132","$134,086"
"951 ","Beloborodko, Illya","$8,742 ","$6,135 ","$2,607","$22,201"
"952 ","Mazza, Manuel","$8,733 ","$7,745 ",$988,"$12,814"
"953 ","De La Fuente, Santiago","$8,698 ","$5,620 ","$3,078","$15,250"
"954 ","Colson, Tibo","$8,674 ","$7,854 ",$820,"$11,396"
"955 ","Wang, Xiaofei","$8,628 ","$7,398 ","$1,230","$8,978"
"956 ","Tamm, Kristjan","$8,615 ","$7,148 ","$1,467","$32,888"
"957 ","Corwin, Felix","$8,600 ","$7,420 ","$1,180","$62,425"
"958 ","Matsuda, Ryuki","$8,581 ","$6,757 ","$1,824","$9,625"
"959 ","Scaglia, Mathieu","$8,520 ","$6,621 ","$1,899","$13,128"
"960 ","Barreto Sanchez, Diego Augusto","$8,514 ","$6,177 ","$2,337","$19,283"
"961 ","Frunza, Nicolae","$8,481 ","$7,905 ",$576,"$69,125"
"962 ","Landaluce, Martin","$8,458 ","$6,832 ","$1,626","$8,458"
"963T ","Dalla Valle, Enrico","$8,451 ","$5,891 ","$2,560","$71,653"
"963T ","Hoyos, Alejandro","$8,451 ","$5,867 ","$2,584","$21,607"
"965 ","Moraing, Oscar","$8,430 ","$7,526 ",$904,"$20,884"
"966 ","Cias, Pawel","$8,412 ","$7,464 ",$948,"$87,959"
"967 ","Apostol, Bogdan Ionut","$8,411 ","$6,895 ","$1,516","$64,515"
"968 ","Bocchi, Lorenzo","$8,400 ","$7,788 ",$612,"$38,058"
"Page 22 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"969 ","Brugnerotto, Marco","$8,382 ","$6,848 ","$1,534","$27,450"
"970 ","Sinha, Nitin Kumar","$8,376 ","$6,492 ","$1,884","$28,162"
"971 ","Hellum-Lilleengen, Lukas","$8,360 ","$2,416 ","$5,944","$30,338"
"972 ","Cid Subervi, Roberto","$8,344 ","$8,164 ",$180,"$238,393"
"973 ","Wallart, Enzo","$8,296 ","$7,215 ","$1,081","$14,993"
"974 ","Gulin, Svyatoslav","$8,280 ","$6,615 ","$1,665","$8,634"
"975 ","Bicknell, Blaise","$8,265 ","$7,631 ",$634,"$12,495"
"976 ","Sumizawa, Daisuke","$8,235 ","$6,432 ","$1,803","$22,715"
"977 ","Carr, Simon","$8,204 ","$6,687 ","$1,517","$61,155"
"978 ","Bruna, Nicolas","$8,179 ","$4,929 ","$3,250","$14,381"
"979 ","Tokuda, Renta","$8,145 ","$7,965 ",$180,"$92,200"
"980 ","Basso, Andrea","$8,090 ","$6,868 ","$1,222","$131,423"
"981 ","Pontjodikromo, Sidane","$8,071 ","$6,012 ","$2,059","$31,366"
"982 ","Guerrieri, Andrea","$8,063 ","$7,319 ",$744,"$34,189"
"983 ","Pannu, Kiranpal","$8,039 ","$6,771 ","$1,268","$15,298"
"984 ","Vandermeersch, Cyril","$8,033 ","$6,641 ","$1,392","$11,924"
"985 ","Kovapitukted, Palaphoom","$7,993 ","$6,304 ","$1,689","$21,344"
"986 ","Nunez, Daniel Antonio","$7,992 ","$5,950 ","$2,042","$17,049"
"987 ","Ogura, Kosuke","$7,979 ","$5,679 ","$2,300","$15,840"
"988 ","Takeuchi, Kento","$7,964 ","$5,376 ","$2,588","$179,045"
"989 ","Parizzia, Nicolas","$7,949 ","$5,755 ","$2,194","$15,328"
"990 ","Kawachi, Kazuma","$7,937 ","$5,508 ","$2,429","$35,888"
"991 ","Delage, Pierre","$7,912 ","$5,514 ","$2,398","$18,572"
"992 ","Kestelboim, Mariano","$7,828 ","$6,125 ","$1,703","$112,919"
"993 ","Bovy, Arnaud","$7,811 ","$6,675 ","$1,136","$38,549"
"994 ","Bouquet, Lucas","$7,808 ","$6,180 ","$1,628","$26,955"
"995 ","Ocleppo, Julian","$7,795 ","$3,847 ","$3,948","$118,223"
"996 ","Sigsgaard, Christian","$7,786 ","$6,130 ","$1,656","$14,395"
"997 ","Gaubas, Vilius","$7,772 ","$6,780 ",$992,"$9,254"
"998 ","Zgirovsky, Alexander","$7,746 ","$4,486 ","$3,260","$16,639"
"999 ","Reinberg, Emil","$7,745 ","$7,421 ",$324,"$27,787"
"1000 ","Noce, Gabriele Maria","$7,722 ","$4,833 ","$2,889","$22,812"
"1001 ","Mendoza, Alejandro","$7,715 ","$4,146 ","$3,569","$51,436"
"1002 ","Babic, Zvonimir","$7,710 ","$0 ","$7,710","$11,893"
"1003 ","Chakravarthi, Caleb","$7,654 ","$7,600 ",$54,"$8,244"
"1004 ","Sheyngezikht, Leonid","$7,614 ","$5,183 ","$2,431","$12,490"
"1005 ","Rodrigues, Daniel","$7,605 ","$5,591 ","$2,014","$17,357"
"1006 ","Agarwal, Rishab","$7,587 ","$5,345 ","$2,242","$27,559"
"1007 ","Marrero, David","$7,582 ","$339 ","$7,243","$2,382,968"
"1008 ","Vallejo, Adolfo Daniel","$7,576 ","$6,240 ","$1,336","$8,506"
"1009 ","Kekez, Duje","$7,549 ","$7,351 ",$198,"$80,317"
"1010 ","Harper, Mitchell","$7,532 ","$6,188 ","$1,344","$9,734"
"1011 ","Maden, Yannick","$7,522 ","$6,252 ","$1,270","$760,360"
"1012 ","Crnokrak, Alexander","$7,517 ","$5,707 ","$1,810","$35,908"
"Page 23 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"1013 ","Castelnuovo, Luca","$7,482 ","$4,259 ","$3,223","$57,812"
"1014 ","Duncan, Scott","$7,464 ","$1,038 ","$6,426","$21,635"
"1015 ","Flores, Jesse","$7,456 ","$5,405 ","$2,051","$17,858"
"1016 ","Martinez, Alex","$7,410 ","$5,049 ","$2,361","$12,722"
"1017 ","Roveri Sidney, Gabriel","$7,391 ","$3,057 ","$4,334","$15,271"
"1018 ","Duda, Filip","$7,353 ","$4,194 ","$3,159","$36,412"
"1019 ","Vance, Jack","$7,350 ","$0 ","$7,350","$10,942"
"1020 ","Obradovic, Dusan","$7,349 ","$5,645 ","$1,704","$10,192"
"1021 ","Wojcik, Yann","$7,336 ","$3,926 ","$3,410","$27,762"
"1022 ","Castagnola, Luca","$7,331 ","$5,856 ","$1,475","$8,583"
"1023 ","Beale, Jeremy","$7,329 ","$3,314 ","$4,015","$66,108"
"1024 ","Jovic, Viktor","$7,323 ","$5,070 ","$2,253","$14,379"
"1025 ","Moller, Elmer","$7,295 ","$6,647 ",$648,"$9,091"
"1026 ","Al Allaf, Kareem","$7,284 ","$5,718 ","$1,566","$14,357"
"1027 ","Smith, Roy","$7,252 ","$6,732 ",$520,"$57,848"
"1028 ","Gentzsch, Tom","$7,223 ","$5,641 ","$1,582","$8,376"
"1029 ","Srbljak, Gorazd","$7,219 ","$5,270 ","$1,949","$28,309"
"1030 ","Taylor, Adam","$7,195 ","$246 ","$6,949","$28,862"
"1031 ","Donati, Matteo","$7,148 ","$6,507 ",$641,"$375,972"
"1032 ","Cerretani, Jamie","$7,144 ","$130 ","$7,014","$947,843"
"1033 ","Ambrogi, Luciano Emanuel","$7,124 ","$5,564 ","$1,560","$7,844"
"1034 ","Janowicz, Jerzy","$7,102 ","$6,872 ",$230,"$3,769,423"
"1035 ","Arutiunian, Erik","$7,079 ","$3,940 ","$3,139","$8,933"
"1036 ","Donev, Gabriel","$7,067 ","$4,982 ","$2,085","$33,919"
"1037 ","Rivera, Leyton","$7,060 ","$1,348 ","$5,712","$26,000"
"1038 ","Rodriguez, Lorenzo Joaquin","$7,035 ","$5,396 ","$1,639","$10,553"
"1039 ","Pieczkowski, Olaf","$7,012 ","$5,122 ","$1,890","$8,128"
"1040 ","Steiner, Maik","$6,977 ","$4,932 ","$2,045","$13,786"
"1041 ","Cacao, Tiago","$6,973 ","$6,076 ",$897,"$77,160"
"1042 ","Woerner, Paul","$6,969 ","$5,118 ","$1,851","$52,076"
"1043 ","Lopez, Noah","$6,963 ","$5,405 ","$1,558","$8,669"
"1044 ","Garcian, Axel","$6,932 ","$4,781 ","$2,151","$15,077"
"1045 ","Palovic, Lukas","$6,908 ","$5,600 ","$1,308","$13,542"
"1046 ","Raynel, Amaury","$6,900 ","$5,835 ","$1,065","$9,834"
"1047 ","Alharrasi, Issa","$6,893 ","$3,130 ","$3,763","$7,841"
"1048 ","De Krom, Michiel","$6,887 ","$4,712 ","$2,175","$37,123"
"1049 ","Artnak, Bor","$6,874 ","$6,472 ",$402,"$7,394"
"1050 ","Agabigun, Sarp","$6,859 ","$3,870 ","$2,989","$64,712"
"1051 ","Masabayashi, Tomohiro","$6,847 ","$3,538 ","$3,309","$12,397"
"1052 ","Nedelko, Ivan","$6,842 ","$6,440 ",$402,"$324,059"
"1053 ","Dostanic, Stefan","$6,831 ","$5,966 ",$865,"$8,533"
"1054T ","Ivanov, Vladislav","$6,818 ","$5,178 ","$1,640","$12,573"
"1054T ","Privara, Peter Benjamin","$6,818 ","$5,390 ","$1,428","$8,271"
"1056 ","Iradukunda, Guy Orly","$6,791 ","$3,911 ","$2,880","$32,443"
"Page 24 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"1057 ","Dancu, Vlad Andrei","$6,786 ","$6,606 ",$180,"$23,720"
"1058 ","Zaid, Mubarak","$6,785 ","$3,130 ","$3,655","$11,405"
"1059 ","Son, Ji Hoon","$6,761 ","$4,149 ","$2,612","$25,060"
"1060 ","Isaro, Pruchya","$6,758 ","$2,942 ","$3,816","$51,017"
"1061 ","Johns, Garrett","$6,742 ","$6,106 ",$636,"$14,888"
"1062 ","Vankan, Marlon","$6,729 ","$4,497 ","$2,232","$13,046"
"1063 ","Reddy, Rishi","$6,709 ","$4,404 ","$2,305","$12,928"
"1064 ","Sigouin, Benjamin","$6,705 ","$2,896 ","$3,809","$48,001"
"1065 ","Montsi, Khololwam","$6,680 ","$6,056 ",$624,"$42,526"
"1066 ","Buse, Ignacio","$6,654 ","$4,855 ","$1,799","$8,918"
"1067 ","Broville, Maxence","$6,652 ","$4,785 ","$1,867","$22,673"
"1068 ","Mora, Maxime","$6,651 ","$5,627 ","$1,024","$41,084"
"1069 ","Kalyanpur, Adil","$6,650 ","$4,389 ","$2,261","$26,198"
"1070 ","Ouahab, Lamine","$6,630 ","$2,944 ","$3,686","$483,336"
"1071 ","Tepmahc, Nicolas","$6,590 ","$6,008 ",$582,"$17,166"
"1072 ","Hidalgo, Gabriel Alejandro","$6,575 ","$4,288 ","$2,287","$86,884"
"1073 ","Marmousez, Lilian","$6,570 ","$5,420 ","$1,150","$20,038"
"1074 ","Simakin, Ilia","$6,567 ","$5,264 ","$1,303","$7,089"
"1075 ","Reitano, Stefano","$6,566 ","$4,753 ","$1,813","$13,286"
"1076 ","Singh, Karan","$6,537 ","$4,665 ","$1,872","$7,821"
"1077 ","Rikl, Patrik","$6,529 ","$4,917 ","$1,612","$55,208"
"1078T ","Bosio, Gabriele","$6,524 ","$4,576 ","$1,948","$13,171"
"1078T ","Tashbulatov, Dostanbek","$6,524 ","$4,684 ","$1,840","$28,848"
"1080 ","Rocha, Henrique","$6,522 ","$4,813 ","$1,709","$9,353"
"1081T ","Gimenez, Igor","$6,520 ","$4,175 ","$2,345","$10,666"
"1081T ","Ilhan, Marsel","$6,520 ","$6,322 ",$198,"$1,395,708"
"1083 ","Polukhin, Savva","$6,511 ","$6,403 ",$108,"$12,629"
"1084 ","Gonzalez Fernandez, Mario","$6,499 ","$5,773 ",$726,"$9,654"
"1085 ","Gomez, Mateo","$6,496 ","$5,418 ","$1,078","$9,740"
"1086 ","Lofman, Aleksi","$6,463 ","$5,407 ","$1,056","$8,094"
"1087 ","Den Ouden, Guy","$6,462 ","$5,312 ","$1,150","$21,111"
"1088 ","del Potro, Juan Martin","$6,460 ","$6,460 ",$0,"$25,896,046"
"1089 ","Paroulek, Tadeas","$6,427 ","$5,230 ","$1,197","$34,449"
