"ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                            YTD         Singles   Doubles        Career"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                            YTD         Singles   Doubles        Career"
"177      Medvedev, Daniil                        $160,555        $150,270     $10,285   $189,377"
"178      Gonzalez, Maximo                        $160,499         $95,837     $64,662 $1,770,503"
"179      Guccione, Chris                         $159,748              $0    $159,748 $1,622,043"
"180      Giannessi, Alessandro                   $158,211        $148,490      $9,721   $423,719"
"181      Carballes Baena, Roberto                $156,599        $149,433      $7,166   $388,535"
"182      Berrer, Michael                         $153,543        $150,509      $3,034 $2,766,701"
"183      Wu, Di                                  $151,187        $135,221     $15,966   $544,151"
"184      Millot, Vincent                         $150,956        $137,734     $13,222    $711,862"
"185      Sa, Andre                               $150,673              $0    $150,673 $2,556,784"
"186      Monteiro, Thiago                        $149,336        $143,966      $5,370    $211,269"
"187      De Schepper, Kenny                      $147,832        $137,645     $10,187 $1,372,684"
"188      Skugor, Franko                          $147,729        $124,628     $23,101   $451,685"
"189      Monroe, Nicholas                        $146,183              $0    $146,183    $680,505"
"190      Copil, Marius                           $144,678        $139,268      $5,410   $775,863"
"191      Escobedo, Ernesto                       $144,352        $144,172        $180   $180,984"
"192      Satral, Jan                             $141,874        $136,062      $5,812   $217,378"
"193      Rublev, Andrey                          $139,261        $131,887      $7,374   $361,871"
"194      Kudryavtsev, Alexander                  $138,232        $117,597     $20,635   $877,336"
"195      Bourgue, Mathias                        $138,217        $129,685      $8,532   $264,543"
"196      Lamasine, Tristan                       $136,952        $103,137     $33,815   $276,482"
"197      Barton, Matthew                         $135,150        $131,850      $3,300   $240,017"
"198      Andreozzi, Guido                        $130,737        $121,878      $8,859   $399,955"
"199      Bemelmans, Ruben                        $130,360        $125,381      $4,979 $1,107,762"
"200      Laaksonen, Henri                        $128,482        $121,563      $6,919   $363,930"
"201      Lipsky, Scott                           $128,426          $1,670    $126,756 $1,547,947"
"202      Rubin, Noah                             $127,854        $119,924      $7,930   $216,835"
"203      Smith, John-Patrick                     $127,552         $78,413     $49,139   $619,012"
"204      Ymer, Elias                             $124,591        $105,991     $18,600   $409,747"
"205      Basic, Mirza                            $123,093        $120,475      $2,618   $348,870"
"206      Erlich, Jonathan                        $122,405              $0    $122,405 $2,395,181"
"207      Zhang, Ze                               $121,310         $87,530     $33,780   $676,647"
"208      Petzschner, Philipp                     $121,194          $1,300    $119,894 $3,763,667"
"209      Sitak, Artem                            $119,769          $4,131    $115,638    $468,139"
"210      Fucsovics, Marton                       $119,592        $117,220      $2,372    $368,911"
"211      Ilhan, Marsel                           $119,216        $118,946        $270 $1,313,340"
"212      Paes, Leander                           $117,861              $0    $117,861 $8,233,730"
"213      Gonzalez, Santiago                      $115,177              $0    $115,177 $1,486,656"
"214      Kozlov, Stefan                          $114,452        $104,851      $9,601   $204,340"
"215      Polansky, Peter                         $113,741         $99,391     $14,350   $749,316"
