"ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career          YTD           Singles     Doubles"
"2083     Jaloviec, Marek                                   $69,029   $38,802          $36,713      $2,089"
"2084     Veglio, Filippo                                   $68,926        $0               $0          $0"
"2085     Hand, Paul                                        $68,830        $0               $0          $0"
"2086     Sun, Fajing                                       $68,735   $36,356          $27,257      $9,099"
"2087     Hromec, Martin                                    $68,673        $0               $0          $0"
"2088     Yevseyev, Denis                                   $68,463   $15,417          $12,123      $3,294"
"2089     Fufygin, Mikhail                                  $68,417    $8,238           $5,738      $2,500"
"2090     Noviski, Lionel                                   $68,414        $0               $0          $0"
"2091     Sugiyama, Norikazu                                $68,319        $0               $0          $0"
"2092     Mlendea, Andrei                                   $68,147        $0               $0          $0"
"2093     Markovits, Laszlo                                 $67,898        $0               $0          $0"
"2094     Fancutt, Charlie                                  $67,880        $0               $0          $0"
"2095     Taberner, Carlos                                  $67,879   $41,577          $36,784      $4,793"
"2096     Nurminen, Tapio                                   $67,872        $0               $0          $0"
"2097     Semrajc, Janez                                    $67,543        $0               $0          $0"
"2098     Romero, Victor                                    $67,460        $0               $0          $0"
"2099     Toledo Bague, Pol                                 $67,445   $21,599          $13,732      $7,867"
"2100     Zaitcev, Anton                                    $67,355    $4,581           $4,065        $516"
"2101T    Mantilla, Felipe                                  $67,342   $13,607          $10,679      $2,928"
"2101T    Tyurnev, Evgeny                                   $67,342   $26,108          $21,661      $4,447"
"2103     Kellner, Adam                                     $67,262      $162               $0        $162"
"2104     Gorcic, Ismar                                     $67,256        $0               $0          $0"
"2105     Vovk, Stanislav                                   $67,248        $0               $0          $0"
"2106     Pauffley, Neil                                    $66,979   $14,743          $12,910      $1,833"
"2107     Ruiz-Cadenas, Hector                              $66,747      $108               $0        $108"
"2108     Solves, Vicente                                   $66,473        $0               $0          $0"
"2109     Moraing, Mats                                     $66,437   $32,893          $29,684      $3,209"
"2110     Patridge, Scott                                   $66,388        $0               $0          $0"
"2111     Vasudevan, Srinivasan                             $66,359        $0               $0          $0"
"2112     Bourchier, Harry                                  $66,319   $25,512          $19,726      $5,786"
""
"Page 48 of 531                   Statistics/ Prize Money/ Career       Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                  Career      YTD           Singles     Doubles"
"2113     Della, Otavio                                       $66,279        $0               $0          $0"
"2114     Bardou, Jorge                                       $66,260        $0               $0          $0"
"2115     Avellan, Carlos                                     $66,060        $0               $0          $0"
"2116     Lustig, Daniel                                      $66,036      $258             $258          $0"
"2117     Campbell, Craig                                     $65,931        $0               $0          $0"
"2118     Ager, Johannes                                      $65,861        $0               $0          $0"
"2119     Mitsuhashi, Junn                                    $65,836        $0               $0          $0"
"2120     Boje-Ordonez, Agustin                               $65,785       $90               $0         $90"
"2121     Hipperdinger, Diego                                 $65,704        $0               $0          $0"
"2122     Adams, Egan                                         $65,640        $0               $0          $0"
"2123     Chramosta, Ladislav                                 $65,491        $0               $0          $0"
"2124     Aragone, JC                                         $65,464   $61,292          $59,260      $2,032"
"2125     Hurkacz, Hubert                                     $65,452   $39,676          $34,427      $5,249"
"2126     Orellana, Kepler                                    $65,350        $0               $0          $0"
"2127     Guidolin, Rodrigo                                   $65,337        $0               $0          $0"
"2128     Gomez-Diaz, Carlos                                  $64,983        $0               $0          $0"
"2129     Rasheed, Roger                                      $64,951        $0               $0          $0"
"2130     Sekulic, Milos                                      $64,910    $6,683           $2,074      $4,609"
"2131     Idmbarek, Yassine                                   $64,847    $1,948             $468      $1,480"
"2132     Fagel, Rick                                         $64,787        $0               $0          $0"
"2133     Holm, Nils                                          $64,757        $0               $0          $0"
"2134     Ballauff, Peter                                     $64,538        $0               $0          $0"
"2135     Fransen, Stephan                                    $64,446    $4,484           $3,592        $892"
"2136     Brunner, Pascal                                     $64,313   $13,727          $11,201      $2,526"
"2137     Tearney, Finn                                       $64,168   $16,235          $13,804      $2,431"
"2138     Popp, Torsten                                       $64,150        $0               $0          $0"
"2139     Nam, Hyun-Woo                                       $64,149    $1,092           $1,038         $54"
"2140     Tatlot, Johan                                       $64,138   $11,519           $9,650      $1,869"
"2141     Caballero, David                                    $64,042        $0               $0          $0"
"2142     Fortuna, Claudio                                    $63,991    $5,103           $4,545        $558"
"2143     Elizondo, Juan-Manuel                               $63,980        $0               $0          $0"
"2144     Haenle, Pirmin                                      $63,927    $3,654           $2,148      $1,506"
"2145     Koniusz, Blazej                                     $63,829        $0               $0          $0"
"2146     Marsh, Clinton                                      $63,729        $0               $0          $0"
"2147     Theine, Torben                                      $63,641        $0               $0          $0"
"2148     Basso, Andrea                                       $63,543   $24,575          $22,597      $1,978"
"2149     Griekspoor, Scott                                   $63,508   $17,513          $15,862      $1,651"
"2150     Uzhylovskyi, Volodoymyr                             $63,501   $17,342           $7,753      $9,589"
"2151     Sela, Ofer                                          $63,483        $0               $0          $0"
"2152     Vervoort, Mark                                      $63,457    $5,868               $0      $5,868"
"2153     Baxter, Rill                                        $63,445        $0               $0          $0"
"2154     Bohaboy, Doug                                       $63,432        $0               $0          $0"
"2155     Malik, Adam                                         $63,365        $0               $0          $0"
"2156     Urban, Filip                                        $63,309      $150               $0        $150"
""
"Page 49 of 531                     Statistics/ Prize Money/ Career       Report as of Dec 5, 2017"
"                           ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                     Career      YTD           Singles     Doubles"
"2157     Escoffier, Antoine                                     $63,214   $19,557          $16,725      $2,832"
"2158     Martin-Adalia, Pablo                                   $63,170        $0               $0          $0"
"2159     Pennisi, Pietro                                        $63,092        $0               $0          $0"
"2160     Rodriguez, Bruno                                       $63,073        $0               $0          $0"
"2161     Courcol, Daniel                                        $62,945        $0               $0          $0"
"2162     Colas, Jesus                                           $62,790        $0               $0          $0"
"2163     Bastiansen, Peter                                      $62,785        $0               $0          $0"
"2164     Hennemann, Marcelo                                     $62,670        $0               $0          $0"
"2165     Strengberger, Thomas                                   $62,659        $0               $0          $0"
"2166     Coco, Rudy                                             $62,483      $350             $260         $90"
"2167     Sipaeya, Sunil-Kumar                                   $62,462        $0               $0          $0"
"2168     Masuda, Kentaro                                        $62,434        $0               $0          $0"
"2169     Choinski, Jan                                          $62,358   $24,877          $23,654      $1,223"
"2170     Vilella Martinez, Mario                                $62,336   $28,343          $21,979      $6,364"
"2171     Boltz, Sebastien                                       $62,323    $8,218           $6,629      $1,589"
"2172     Pambianco, Paolo                                       $62,279        $0               $0          $0"
"2173     Phillips, Morgan                                       $62,266      $162               $0        $162"
"2174     Fahlke, Andy                                           $62,211        $0               $0          $0"
"2175     Shabaz, Michael                                        $62,189        $0               $0          $0"
"2176     O'Brien, Dean                                          $62,187      $900               $0        $900"
"2177     Evans, Keith                                           $62,148        $0               $0          $0"
"2178     Cristin, Diego                                         $62,084        $0               $0          $0"
"2179     Hach Verdugo, Hans                                     $62,004   $18,657           $2,750     $15,907"
"2180     Osorio, Marco                                          $61,889        $0               $0          $0"
"2181     Barlow, Russell                                        $61,805        $0               $0          $0"
"2182     Cluskey, James                                         $61,491       $90               $0         $90"
"2183     Zapata Miralles, Bernabe                               $61,379   $35,363          $32,460      $2,903"
"2184     Mas, Jordi                                             $61,274        $0               $0          $0"
"2185     Spinks, Tom                                            $61,253        $0               $0          $0"
"2186     Rusevski, Predrag                                      $61,207        $0               $0          $0"
"2187     Ferrer-Victoria, Cesar                                 $60,876        $0               $0          $0"
"2188     Gadomski, Piotr                                        $60,737        $0               $0          $0"
"2189     Vorster, Tucker                                        $60,674      $534             $438         $96"
"2190     Gille, Sander                                          $60,653   $20,901             $414     $20,487"
"2191     Takahashi, Yusuke                                      $60,549   $47,472          $42,146      $5,326"
"2192     Hidalgo, Gabriel Alejandro                             $60,492    $5,370           $3,312      $2,058"
"2193     Valent, Roman                                          $60,375        $0               $0          $0"
"2194     Bastie, Gilles                                         $60,314        $0               $0          $0"
"2195     Spencer, Kyle                                          $60,291        $0               $0          $0"
"2196     Pujo, Xavier                                           $60,262        $0               $0          $0"
"2197     Denman, Heath                                          $60,213        $0               $0          $0"
"2198     Vogeli, Roman                                          $60,181        $0               $0          $0"
"2199     Strode, Blake                                          $60,116        $0               $0          $0"
"2200     Taweel, Issam Haitham                                  $60,030   $12,498           $8,154      $4,344"
""
"Page 50 of 531                        Statistics/ Prize Money/ Career       Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                   Career      YTD           Singles     Doubles"
"2201     Hoang, Antoine                                       $60,011   $27,880          $21,156      $6,724"
"2202     Dischinger, Eduardo                                  $59,856    $7,879           $4,076      $3,803"
"2203     Stanek, Robin                                        $59,758   $15,403          $11,844      $3,559"
"2204     Magdincev, Lazar                                     $59,743        $0               $0          $0"
"2205     Krupa, Tomas                                         $59,685        $0               $0          $0"
"2206     Sakamoto, Pedro                                      $59,660   $14,494          $11,446      $3,048"
"2207     Baughman, Deiton                                     $59,609   $11,988           $8,528      $3,460"
"2208     Marshall, Jason                                      $59,506        $0               $0          $0"
"2209     Davletshin, Vadim                                    $59,503        $0               $0          $0"
"2210     Altamirano, Collin                                   $59,488    $4,597           $4,071        $526"
"2211     Dima, Dragos                                         $59,380   $12,800          $11,922        $878"
"2212     Pan, Bing                                            $59,368        $0               $0          $0"
"2213     Kures, Michael                                       $59,332        $0               $0          $0"
"2214     Chang, Yu                                            $59,321    $2,747           $2,119        $628"
"2215     Braga, Pedro                                         $59,313        $0               $0          $0"
"2216     Fitz, Sebastian                                      $59,256        $0               $0          $0"
"2217     Albert-Ferrando, Mariano                             $59,235        $0               $0          $0"
"2218     Inzerillo, Jerome                                    $59,227      $204               $0        $204"
"2219     Pedrini, Marco                                       $59,107        $0               $0          $0"
"2220     Kovacka, Petr                                        $59,060        $0               $0          $0"
"2221     Kodes Jr., Jan                                       $59,054        $0               $0          $0"
"2222     Breen, Matthew                                       $59,047        $0               $0          $0"
"2223     Chaen, Tetsuya                                       $59,037        $0               $0          $0"
"2224     Ikramov, Sarvar                                      $59,005        $0               $0          $0"
"2225     Grossi, Elia                                         $58,983        $0               $0          $0"
"2226     Sullivan, John                                       $58,849        $0               $0          $0"
"2227     Fillol, Alvaro                                       $58,805        $0               $0          $0"
"2228     Urzua-Rivera, Ricardo                                $58,778        $0               $0          $0"
"2229     Kypson, Patrick                                      $58,749   $56,833          $55,897       $936"
"2230     Vandenbulcke, Yannick                                $58,737   $18,691          $17,280      $1,411"
"2231     Marco, Daniel                                        $58,605        $0               $0          $0"
"2232     Pearson, Lee                                         $58,600        $0               $0          $0"
"2233     Pils, Bernhard                                       $58,589        $0               $0          $0"
"2234     Hansen-Dent, Brett                                   $58,580        $0               $0          $0"
"2235     Hiltzik, Jared                                       $58,477   $29,189          $26,668      $2,521"
"2236     O'Hare, David                                        $58,439   $28,056               $0     $28,056"
"2237     Vivanco-Guzman, Andoni                               $58,420        $0               $0          $0"
"2238     Logtens, Paul                                        $58,333        $0               $0          $0"
"2239     Beks, Bart                                           $58,315        $0               $0          $0"
"2240     Vibert, Francois-Arthur                              $58,282    $8,745           $6,054      $2,691"
"2241     Rodriguez, Cristian                                  $58,257   $17,697          $13,522      $4,175"
"2242     Balducci, Daniele                                    $58,225        $0               $0          $0"
"2243     Vucic, Ilija                                         $58,097    $5,899           $2,480      $3,419"
"2244     Dahan, Lior                                          $57,874        $0               $0          $0"
""
"Page 51 of 531                      Statistics/ Prize Money/ Career       Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                   Career      YTD           Singles     Doubles"
"2245     Bonadio, Riccardo                                    $57,774   $20,326          $16,648      $3,678"
"2246     Svensson, Peter                                      $57,659        $0               $0          $0"
"2247     Reininger, Robert                                    $57,642        $0               $0          $0"
"2248     Lenho, Tommi                                         $57,575        $0               $0          $0"
"2249     Singh, Karunuday                                     $57,528   $13,972          $10,392      $3,580"
"2250     Ortegren, Johan                                      $57,399        $0               $0          $0"
"2251T    Hensel, Kaden                                        $57,229        $0               $0          $0"
"2251T    Klaparda, Jeff                                       $57,229        $0               $0          $0"
"2253     Gubenco, Philip                                      $57,182        $0               $0          $0"
"2254     Haldin, Thomas                                       $57,174        $0               $0          $0"
"2255     Geens, Clement                                       $57,061   $17,425          $14,616      $2,809"
"2256     Kobelt, Peter                                        $56,942   $11,506          $10,726       $780"
"2257     Masik, Jan                                           $56,883        $0               $0          $0"
"2258     Niesten, Miliaan                                     $56,833    $9,038           $7,160      $1,878"
"2259     Testa, Cristiano                                     $56,825        $0               $0          $0"
"2260     Roberts, Damien                                      $56,811        $0               $0          $0"
"2261     Dondo, Federico                                      $56,725        $0               $0          $0"
"2262     Garizzio, Agustin                                    $56,611        $0               $0          $0"
"2263     Cassaigne, Benjamin                                  $56,402        $0               $0          $0"
"2264     Leonte, Bogdan                                       $56,389        $0               $0          $0"
"2265     Hasek, Jakub                                         $56,261        $0               $0          $0"
"2266     Uzakov, Vaja                                         $56,241        $0               $0          $0"
"2267     Metreveli, Aleksandre                                $56,226        $0               $0          $0"
"2268T    Halebian, Alexios                                    $56,202   $17,838          $15,047      $2,791"
"2268T    Severino, Carlos Eduardo                             $56,202    $5,124           $3,906      $1,218"
"2270     Loven, Fredrik                                       $56,189        $0               $0          $0"
"2271     Bradaric, Marin                                      $56,060        $0               $0          $0"
"2272     Ciumac, Andrei                                       $56,024      $252             $156         $96"
"2273     Kornienko, Igor                                      $56,014        $0               $0          $0"
"2274     Pastor, Nicolas                                      $55,988        $0               $0          $0"
"2275     Beecher, Colin                                       $55,969        $0               $0          $0"
"2276     Belloli, Jeff                                        $55,843        $0               $0          $0"
"2277     Svetlik, Radovan                                     $55,840        $0               $0          $0"
"2278     Gonzalia, Jonathan                                   $55,794        $0               $0          $0"
"2279     Clayton, Scott                                       $55,654   $25,674           $1,038     $24,636"
"2280     Kalovelonis, Markos                                  $55,593   $11,620           $8,011      $3,609"
"2281     Spottl, Martin                                       $55,466        $0               $0          $0"
"2282     Celikbilek, Altug                                    $55,410   $25,627          $16,539      $9,088"
"2283     Martinez, Mateo Nicolas                              $55,304    $3,378           $2,424        $954"
"2284     Ojala, Janne                                         $55,265        $0               $0          $0"
"2285     Marse-Vidri, Jordi                                   $55,260      $630             $156        $474"
"2286     Arquez, Patricio                                     $55,233        $0               $0          $0"
"2287     Carry, Guillermo                                     $55,232        $0               $0          $0"
"2288     Apostu-Efremov, Artemon                              $55,070        $0               $0          $0"
""
"Page 52 of 531                      Statistics/ Prize Money/ Career       Report as of Dec 5, 2017"
"                           ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                    Career      YTD           Singles     Doubles"
"2289     Jeong, Suk-Young                                      $55,015        $0               $0          $0"
"2290     Lukaev, Radoslav                                      $55,014        $0               $0          $0"
"2291     Anderson, Andrew                                      $54,889        $0               $0          $0"
"2292     Nastase, Mihnea-Ion                                   $54,828        $0               $0          $0"
"2293     Vaisse, Martin                                        $54,450        $0               $0          $0"
"2294     Cunha, Henrique                                       $54,439        $0               $0          $0"
"2295     Valtzer, Dekel                                        $54,390        $0               $0          $0"
"2296     Esteve Lobato, Eduard                                 $54,349   $17,895          $15,233      $2,662"
"2297     Al-Mutawa, Jabor                                      $54,341    $7,242           $3,455      $3,787"
"2298     He, Yecong                                            $54,257   $14,674          $11,119      $3,555"
"2299     Tarantino, Agustin                                    $54,168        $0               $0          $0"
"2300     Skenderovic, Vjekoslav                                $54,161        $0               $0          $0"
"2301     Audouy, Xavier                                        $54,101        $0               $0          $0"
"2302     Bouteyre, Pierre                                      $54,033        $0               $0          $0"
"2303     Grimolizzi, Gaston-Arturo                             $54,010      $786             $570        $216"
"2304     Warner, Scott                                         $53,917        $0               $0          $0"
"2305     Marsalek, James                                       $53,905    $4,266           $3,081      $1,185"
"2306     Grozdanov, Tihomir                                    $53,888      $312             $258         $54"
"2307     Igoshin, Alexander                                    $53,652   $10,952           $7,361      $3,591"
"2308     Borroni, Corrado                                      $53,599        $0               $0          $0"
"2309     De Beer, Johan                                        $53,581        $0               $0          $0"
"2310     Alcaraz Ivorra, Albert                                $53,579    $9,146           $7,424      $1,722"
"2311     Vilardo, Francesco                                    $53,487   $13,773           $9,700      $4,073"
"2312     Rousset, Elie                                         $53,317    $1,124             $776        $348"
"2313     Krainik, Pavel                                        $53,295    $9,405           $7,725      $1,680"
"2314     Jotovski, Tomislav                                    $53,291   $12,641          $10,263      $2,378"
"2315     Mitchell, Toby                                        $53,242        $0               $0          $0"
"2316     Rumyantsev, Alexander                                 $53,233        $0               $0          $0"
"2317     Roshan, Nima                                          $53,227        $0               $0          $0"
"2318     Rachidi, Younes                                       $53,102      $210             $156         $54"
"2319     Silva, Caio                                           $53,059    $9,589           $5,074      $4,515"
"2320     Makiguchi, Ryusei                                     $52,979    $4,127           $3,521        $606"
"2321     Bottazzi, Luca                                        $52,945        $0               $0          $0"
"2322     Frigerio, Lorenzo                                     $52,865   $17,163          $13,521      $3,642"
"2323     Nettle, Shannon                                       $52,822        $0               $0          $0"
"2324     Grenier, Stephane                                     $52,788        $0               $0          $0"
"2325     Marafiote, Domenic                                    $52,763        $0               $0          $0"
"2326     Song, Evan                                            $52,718   $18,312          $15,060      $3,252"
"2327     Heyman, Christopher                                   $52,647   $25,953          $23,648      $2,305"
"2328     Gomes, Eric                                           $52,482        $0               $0          $0"
"2329     Dupuy, Baptiste                                       $52,477        $0               $0          $0"
"2330     Pellegrino, Andrea                                    $52,351   $32,053          $25,368      $6,685"
"2331     Reinwein, Sami                                        $52,261   $12,345           $8,777      $3,568"
"2332     Mirzadeh, Vahid                                       $52,211        $0               $0          $0"
""
"Page 53 of 531                       Statistics/ Prize Money/ Career       Report as of Dec 5, 2017"
"                           ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                  Career      YTD           Singles     Doubles"
"2333     Valverde, Juan-Manuel                               $52,185        $0               $0          $0"
"2334     Larsen, Thomas                                      $52,164        $0               $0          $0"
"2335     Fanselow, Sebastian                                 $52,034   $26,376          $23,081      $3,295"
"2336     Simonsson, Fred                                     $52,026   $15,856          $10,285      $5,571"
"2337     Lescure, Mick                                       $52,008   $16,140          $11,139      $5,001"
"2338     Heller, Peter                                       $51,965    $6,876           $5,271      $1,605"
"2339     Becker, Richard                                     $51,696        $0               $0          $0"
"2340     Turner, James                                       $51,682        $0               $0          $0"
"2341     Erguden, Baris                                      $51,533        $0               $0          $0"
"2342     Agamenone, Franco                                   $51,467   $18,833           $8,825     $10,008"
"2343     Bamford, Neil                                       $51,328        $0               $0          $0"
"2344     Lootsma, Niels                                      $51,305   $16,918           $9,239      $7,679"
"2345     Kecmanovic, Miomir                                  $51,253   $46,861          $44,481      $2,380"
"2346     Biryukov, Mikhail                                   $51,200        $0               $0          $0"
"2347     Scherman, Ted                                       $51,188        $0               $0          $0"
"2348     Kekez, Duje                                         $51,186    $7,099           $6,025      $1,074"
"2349     Novak, David                                        $51,172        $0               $0          $0"
"2350     Vajda, Ivan                                         $51,136        $0               $0          $0"
"2351     Moneke, Steven                                      $51,103        $0               $0          $0"
"2352     Sabanov, Matej                                      $51,086   $15,630           $6,772      $8,858"
"2353     Rath, Marc                                          $51,059        $0               $0          $0"
"2354     Tiberti, Gustavo                                    $51,046        $0               $0          $0"
"2355     Bonneau, Stephane                                   $50,979        $0               $0          $0"
"2356     Muzaev, Richard                                     $50,943    $5,918           $2,515      $3,403"
"2357     Alekseenko, Gleb                                    $50,928    $2,210           $1,196      $1,014"
"2358     Frantzen, Romano                                    $50,852        $0               $0          $0"
"2359     Monteferrario, Joaquin-Jesus                        $50,670        $0               $0          $0"
"2360     Krumrey, Florian                                    $50,668        $0               $0          $0"
"2361     Downs, Steven                                       $50,607        $0               $0          $0"
"2362     Davydenko, Philipp                                  $50,585    $1,448           $1,448          $0"
"2363     Sato, Bumpei                                        $50,503        $0               $0          $0"
"2364     Burton, Lewis                                       $50,500        $0               $0          $0"
"2365     Williams, Jeff                                      $50,498        $0               $0          $0"
"2366     Vlaski, Aleksandar                                  $50,462        $0               $0          $0"
"2367     Withrow, Jackson                                    $50,423   $41,470               $0     $41,470"
"2368     Barbosa, Romain                                     $50,389   $11,050           $9,790      $1,260"
"2369     Rybalko, Andrei                                     $50,368        $0               $0          $0"
"2370     Vilarrubi, Martin                                   $50,366        $0               $0          $0"
"2371     Michelotti, Francesco                               $50,317        $0               $0          $0"
"2372     Aubone, Jean-Yves                                   $50,294        $0               $0          $0"
"2373     Kuhn, Nicola                                        $50,262   $45,878          $45,447       $431"
"2374     Montero, Jorge                                      $50,150    $9,667           $6,224      $3,443"
"2375     Hubble, Adam                                        $49,986        $0               $0          $0"
"2376     O'Mara, Jonny                                       $49,944   $24,315           $2,214     $22,101"
""
"Page 54 of 531                     Statistics/ Prize Money/ Career       Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career      YTD           Singles     Doubles"
"2377     Urh, Borut                                         $49,943        $0               $0          $0"
"2378     Saric, Igor                                        $49,842        $0               $0          $0"
"2379     Gajjar, Rohan                                      $49,823        $0               $0          $0"
"2380     Ouahabi, Talal                                     $49,817        $0               $0          $0"
"2381     Haas, Rudiger                                      $49,741        $0               $0          $0"
"2382     Johansson, Kjell                                   $49,711        $0               $0          $0"
"2383     Vivero Gonzalez, Pablo                             $49,683   $15,924          $13,553      $2,371"
"2384     Bellier, Antoine                                   $49,656   $18,696          $14,492      $4,204"
"2385     Scheidweiler, Mike                                 $49,645        $0               $0          $0"
"2386     Kestelboim, Mariano                                $49,630   $18,702          $13,957      $4,745"
"2387     Burniol, Guillem                                   $49,555        $0               $0          $0"
"2388     Sachire, Ryan                                      $49,419        $0               $0          $0"
"2389     Kontinen, Micke                                    $49,328        $0               $0          $0"
"2390     Tabatruong, Maxime                                 $49,288   $15,898          $14,054      $1,844"
"2391     Look, Michael                                      $49,272    $4,122           $2,766      $1,356"
"2392     Hung, Jui-Chen                                     $49,216   $10,410           $5,654      $4,756"
"2393     Dmitriev, Kirill                                   $49,102    $3,125           $2,545        $580"
"2394     Tyson, Desmond                                     $49,090        $0               $0          $0"
"2395     Kandler, Hans-Peter                                $48,938        $0               $0          $0"
"2396     Stancik, Jan                                       $48,937        $0               $0          $0"
"2397     De Waard, Steven                                   $48,874   $20,512           $1,770     $18,742"
"2398     Kon, Alejandro                                     $48,871       $54               $0         $54"
"2399     Koepfer, Dominik                                   $48,866   $34,630          $30,235      $4,395"
"2400     Vliegen, Joran                                     $48,808   $21,076           $1,368     $19,708"
"2401     Baldi, Filippo                                     $48,792   $21,178          $16,097      $5,081"
"2402     Pokrajac, Milan                                    $48,765        $0               $0          $0"
"2403     Bale, Stuart                                       $48,554        $0               $0          $0"
"2404     Katic, Dejan                                       $48,367    $6,573           $5,559      $1,014"
"2405     Ghedin, Nicola                                     $48,277    $7,084           $6,298        $786"
"2406     Gorban, Andrei                                     $48,213        $0               $0          $0"
"2407     Fallert, Florian                                   $48,186    $8,506           $6,529      $1,977"
"2408     Belgraver, Martijn                                 $48,166        $0               $0          $0"
"2409     Filenkov, Alexei                                   $48,102        $0               $0          $0"
"2410     Lin, Bing Chao                                     $48,098        $0               $0          $0"
"2411     Virgili, Adelchi                                   $48,055   $16,920          $15,358      $1,562"
"2412     Becka, Jaromir                                     $48,013        $0               $0          $0"
"2413     Bar, Dekel                                         $47,920   $11,173           $7,770      $3,403"
"2414     Schnur, Max                                        $47,884   $25,709               $0     $25,709"
"2415     Mamoun, Mohamed                                    $47,866        $0               $0          $0"
"2416     Letcher, Chris                                     $47,802        $0               $0          $0"
"2417     Saliola, Marcelo                                   $47,779        $0               $0          $0"
"2418     Watanuki, Yusuke                                   $47,753    $6,379           $4,465      $1,914"
"2419     Pla Malfeito, Jaume                                $47,736   $16,250          $10,441      $5,809"
"2420     Andersson, Henrik                                  $47,713        $0               $0          $0"
""
"Page 55 of 531                    Statistics/ Prize Money/ Career       Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                  Career      YTD           Singles     Doubles"
"2421T    Garcia-Sintes, Javier                               $47,694        $0               $0          $0"
"2421T    Rondoni, Pietro                                     $47,694   $14,357          $11,614      $2,743"
"2423     Renard, Alexandre                                   $47,681        $0               $0          $0"
"2424     Licciardi, Pietro                                   $47,577   $13,228           $9,737      $3,491"
"2425     Sekac, Branislav                                    $47,549        $0               $0          $0"
"2426     Luddi, Gianluca                                     $47,526        $0               $0          $0"
"2427     Cortes, Jaime                                       $47,483        $0               $0          $0"
"2428     Gomez, Alejandro                                    $47,432    $6,588           $4,989      $1,599"
"2429     Mukund, Sasi Kumar                                  $47,397   $21,606          $19,350      $2,256"
"2430     Brunken, Jaan-Frederik                              $47,359        $0               $0          $0"
"2431     Deviatiarov, Marat                                  $47,176   $10,384           $6,287      $4,097"
"2432     Ivanov, Pavel                                       $47,150        $0               $0          $0"
"2433     Falenti, Rainer                                     $47,149        $0               $0          $0"
"2434     Mukhometov, Philipp                                 $47,110        $0               $0          $0"
"2435     Christensen, Morten                                 $47,096        $0               $0          $0"
"2436     Fernandes, Tiago                                    $47,095        $0               $0          $0"
"2437     Thompson, Nathan                                    $47,083        $0               $0          $0"
"2438     Ribeiro Neto, Eladio                                $47,046        $0               $0          $0"
"2439     Hampel, Lenny                                       $46,989   $20,678          $18,471      $2,207"
"2440     Katayama, Sho                                       $46,951   $11,951           $8,068      $3,883"
"2441     Netuschil, Marvin                                   $46,911   $11,101           $9,356      $1,745"
"2442     Kudrnac, Pavel                                      $46,869        $0               $0          $0"
"2443     Veger, Filip                                        $46,807      $156             $156          $0"
"2444     Boscatto, Massimo                                   $46,799        $0               $0          $0"
"2445     Vasilenko, Alexander                                $46,780   $13,047          $11,442      $1,605"
"2446     Bloemke, Dennis                                     $46,762        $0               $0          $0"
"2447     Safiullin, Roman                                    $46,757   $17,598          $16,920       $678"
"2448     Botfield, Stephen                                   $46,689        $0               $0          $0"
"2449     Hossam, Karim                                       $46,668    $1,722           $1,416        $306"
"2450     Zayed, Mousa Shanan                                 $46,646    $7,840           $3,455      $4,385"
"2451     Navarro-Batles, Lazaro                              $46,644        $0               $0          $0"
"2452     Antonescu, Vasile                                   $46,594   $12,518           $8,221      $4,297"
"2453     Borgula, Boris                                      $46,381        $0               $0          $0"
"2454     Flanagan, Ian                                       $46,354        $0               $0          $0"
"2455     Rodriguez, Juan Antonio                             $46,337        $0               $0          $0"
"2456     N'Goran, Clement                                    $46,321        $0               $0          $0"
"2457     Yim, Robert                                         $46,307        $0               $0          $0"
"2458     Gaspar Murta, Andre                                 $46,296    $6,472           $5,488        $984"
"2459     Stimpson, John                                      $46,176        $0               $0          $0"
"2460     Von Massow, George                                  $46,048   $13,683           $9,754      $3,929"
"2461     Martos Gornes, Sergio                               $46,045   $16,668           $7,374      $9,294"
"2462     Sandbichler, Armin                                  $45,780        $0               $0          $0"
"2463     Harboe, Phillip                                     $45,737        $0               $0          $0"
"2464     Brydolf, Patrik                                     $45,707    $6,696           $5,154      $1,542"
""
"Page 56 of 531                     Statistics/ Prize Money/ Career       Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career      YTD           Singles     Doubles"
