"ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career          YTD           Singles     Doubles"
"117      Dodig, Ivan                                     $6,350,790      $782,197         $82,067       $700,130"
"118      Lapentti, Nicolas                               $6,315,143        $1,245              $0          $1,245"
"119      Mathieu, Paul-Henri                             $6,299,093      $202,806        $180,965         $21,841"
"120      Gaudio, Gaston                                  $6,066,156            $0              $0              $0"
"121      Tursunov, Dmitry                                $5,920,125      $175,377        $174,837            $540"
"122      Coria, Guillermo                                $5,915,620            $0              $0              $0"
"123      Hlasek, Jakob                                   $5,890,993            $0              $0              $0"
"124      Montanes, Albert                                $5,866,340       $23,525         $23,525              $0"
"125      Larsson, Magnus                                 $5,839,451            $0              $0              $0"
"126      Carreno Busta, Pablo                            $5,746,293    $3,009,359      $2,843,305       $166,054"
"127      Damm, Martin                                    $5,735,972            $0              $0              $0"
"128      Malisse, Xavier                                 $5,694,825            $0              $0              $0"
"129      Forget, Guy                                     $5,669,934            $0              $0              $0"
"130      Kyrgios, Nick                                   $5,514,920    $1,925,500      $1,787,646       $137,854"
"131      Gilbert, Brad                                   $5,509,060            $0              $0              $0"
"132      Ramos-Vinolas, Albert                           $5,425,723    $1,781,770      $1,643,204       $138,566"
""
"Page 3 of 531                      Statistics/ Prize Money/ Career          Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                  Career         YTD           Singles       Doubles"
"133      Muller, Gilles                                  $5,403,128    $1,341,306      $1,227,494        $113,812"
"134      Jarryd, Anders                                  $5,378,067            $0              $0              $0"
"135      Sanchez, Emilio                                 $5,339,395            $0              $0              $0"
"136      Istomin, Denis                                  $5,336,016      $718,235        $699,225         $19,010"
"137      Mantilla, Felix                                 $5,332,214            $0              $0              $0"
"138      Tomic, Bernard                                  $5,293,195      $517,025        $488,564         $28,461"
"139      Canas, Guillermo                                $5,285,575            $0              $0              $0"
"140      Haase, Robin                                    $5,269,193    $1,166,634      $1,036,252       $130,382"
"141      Melo, Marcelo                                   $5,249,152    $1,358,429              $0      $1,358,429"
"142      Wheaton, David                                  $5,238,401            $0              $0              $0"
"143      Pavel, Andrei                                   $5,225,028            $0              $0              $0"
"144      Schalken, Sjeng                                 $5,192,798            $0              $0              $0"
"145      Paire, Benoit                                   $5,179,002    $1,116,763      $1,022,828         $93,935"
"146      Black, Byron                                    $5,159,775            $0              $0              $0"
"147      Bellucci, Thomaz                                $5,157,757      $471,300        $439,419         $31,881"
"148      Kucera, Karol                                   $5,061,125            $0              $0              $0"
"149      Spadea, Vincent                                 $5,004,860          $180              $0            $180"
"150      Roger-Vasselin, Edouard                         $4,966,003      $353,534              $0        $353,534"
"151      Vilas, Guillermo                                $4,923,882            $0              $0              $0"
"152      Eltingh, Jacco                                  $4,920,410            $0              $0              $0"
"153      Rochus, Olivier                                 $4,905,754            $0              $0              $0"
"154      Vacek, Daniel                                   $4,803,388            $0              $0              $0"
"155      Lu, Yen-Hsun                                    $4,796,896      $483,796        $442,787         $41,009"
"156      Mayer, Leonardo                                 $4,784,952      $703,146        $655,888         $47,258"
"157      Stakhovsky, Sergiy                              $4,783,571      $301,426        $288,598         $12,828"
"158      Mannarino, Adrian                               $4,758,169    $1,333,177      $1,279,672         $53,505"
"159      Pospisil, Vasek                                 $4,748,682      $379,326        $324,685         $54,641"
"160      Bolelli, Simone                                 $4,726,425      $262,512        $214,496         $48,016"
"161      Berasategui, Alberto                            $4,676,187            $0              $0              $0"
"162      Gustafsson, Magnus                              $4,545,489            $0              $0              $0"
"163      Norman, Magnus                                  $4,537,247            $0              $0              $0"
"164      Pouille, Lucas                                  $4,514,157    $2,041,133      $1,953,511         $87,622"
"165      Soares, Bruno                                   $4,510,512      $681,760              $0        $681,760"
"166      Andreev, Igor                                   $4,510,376            $0              $0              $0"
"167      Sanchez, Javier                                 $4,427,811            $0              $0              $0"
"168      Reneberg, Richey                                $4,407,308            $0              $0              $0"
"169      Becker, Benjamin                                $4,399,584       $60,768         $60,768              $0"
"170      Gomez, Andres                                   $4,385,130            $0              $0              $0"
"171      Siemerink, Jan                                  $4,347,693            $0              $0              $0"
"172      Massu, Nicolas                                  $4,343,298            $0              $0              $0"
"173      Tecau, Horia                                    $4,340,044      $774,621              $0        $774,621"
"174      Hanescu, Victor                                 $4,330,340            $0              $0              $0"
"175      Andujar, Pablo                                  $4,301,653          $518            $518              $0"
"176      Sousa, Joao                                     $4,296,925      $776,642        $704,606         $72,036"
""
"Page 4 of 531                      Statistics/ Prize Money/ Career          Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
