"ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 31, 2018"
"Money"
"Rank Player                                                      YTD   Singles     Doubles           Career"
"154      Ymer, Elias                                       $278,637    $265,819    $12,818         $819,254"
"155      Kubler, Jason                                     $275,915    $271,778     $4,137         $433,365"
"156      Bolelli, Simone                                   $273,093    $182,341    $90,752       $4,999,498"
"157      Kokkinakis, Thanasi                               $271,270    $245,585    $25,685       $1,209,710"
"158      Qureshi, Aisam-Ul-Haq                             $257,497          $0   $257,497       $3,145,520"
"159      Middelkoop, Matwe                                 $249,021          $0   $249,021         $875,336"
"160      Travaglia, Stefano                                $248,824    $238,391    $10,433         $557,937"
"161      Sela, Dudi                                        $248,572    $240,074     $8,498       $3,823,286"
"162      Skupski, Neal                                     $248,406          $0   $248,406         $496,067"
"163      Salisbury, Joe                                    $243,653          $0   $243,653         $326,066"
"164      Maden, Yannick                                    $240,562    $235,254     $5,308         $365,785"
"165      Bolt, Alex                                        $239,249    $213,240    $26,009         $611,871"
"166      Murray, Andy                                      $238,610    $238,610         $0      $61,046,255"
"167      Trungelliti, Marco                                $237,644    $235,357     $2,287         $780,759"
"168      Sitak, Artem                                      $235,736          $0   $235,736         $832,686"
"169      Peralta, Julio                                    $235,103          $0   $235,103         $682,146"
"170      Smith, John-Patrick                               $231,905    $145,300    $86,605       $1,095,050"
"171      Dolgopolov, Alexandr                              $231,436    $231,436         $0       $7,125,771"
"172      Dutra Silva, Rogerio                              $231,064    $224,752     $6,312       $1,735,190"
"173      Rubin, Noah                                       $228,373    $223,833     $4,540         $551,707"
"174      Duckworth, James                                  $225,279    $223,839     $1,440       $1,301,375"
"175      Humbert, Ugo                                      $224,235    $213,252    $10,983         $254,435"
"176      Bachinger, Matthias                               $223,841    $218,692     $5,149       $1,467,554"
""
"Page 4 of 100                       Statistics/ Prize Money/ Current         Report as of Dec 30, 2018"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 31, 2018"
"Money"
"Rank Player                                                     YTD    Singles    Doubles           Career"
"177      Tsonga, Jo-Wilfried                              $204,901    $203,396     $1,505      $21,013,518"
"178      Ramanathan, Ramkumar                             $202,002    $192,922     $9,080         $516,106"
"179      Hemery , Calvin                                  $200,501    $173,297    $27,204         $407,440"
"180      Monteiro, Thiago                                 $199,702    $190,931     $8,771         $871,911"
"181      Robert, Stephane                                 $198,012    $168,163    $29,849       $2,414,464"
"182      Sharan, Divij                                    $197,562      $1,145   $196,417         $579,601"
"183      Estrella Burgos, Victor                          $196,843    $183,846    $12,997       $2,155,156"
"184      Arevalo, Marcelo                                 $194,082     $93,077   $101,005         $479,697"
"185      Barrere, Gregoire                                $193,288    $182,574    $10,714         $386,503"
"186      Haider-Maurer, Andreas                           $192,931    $170,339    $22,592       $1,948,627"
"187      Fratangelo, Bjorn                                $192,394    $190,414     $1,980       $1,005,879"
"188      Harris, Lloyd                                    $185,691    $176,204     $9,487         $257,990"
"189      Koolhof, Wesley                                  $185,453          $0   $185,453         $501,416"
"190      Daniell, Marcus                                  $183,229          $0   $183,229         $621,248"
"191      Hanfmann, Yannick                                $179,851    $172,771     $7,080         $366,051"
"192      Laaksonen, Henri                                 $179,670    $165,629    $14,041         $823,764"
"193      Gonzalez, Maximo                                 $177,531      $3,647   $173,884       $2,039,948"
"194      Gonzalez, Santiago                               $177,508          $0   $177,508       $1,966,355"
"195      Melzer, Gerald                                   $171,501    $167,453     $4,048         $871,161"
"196      Halys, Quentin                                   $171,049    $163,059     $7,990         $733,447"
"197      Marrero, David                                   $170,281          $0   $170,281       $2,332,242"
"198      Opelka, Reilly                                   $169,958    $159,848    $10,110         $496,660"
"199      Gunneswaran, Prajnesh                            $168,741    $158,566    $10,175         $261,051"
"200      Escobedo, Ernesto                                $168,071    $167,531       $540         $732,261"
"201      Lindstedt, Robert                                $166,421          $0   $166,421       $3,581,807"
