Rank,Player,YTD,Singles,Doubles,Career
254,"Pouille, Lucas",174513,163671,10842,8279678
255,"Millman, John",170748,159161,11587,5472109
256,"Atmane, Terence",169203,169203,0,208025
257,"Ugo Carabelli, Camilo",166829,161901,4928,466869
258,"Uchida, Kaichi",166688,154782,11906,514782
259,"Gakhov, Ivan",166578,164333,2245,361210
260,"Ferreira Silva, Frederico",166324,161437,4887,700820
261,"Bhambri, Yuki",164215,13880,150335,1239428
262,"Vega Hernandez, David",164184,0,164184,621057
263,"Cash, Julian",164103,0,164103,226792
264,"Basilashvili, Nikoloz",163909,163909,0,8745443
265,"Gigante, Matteo",163402,160160,3242,214969
266,"Bonadio, Riccardo",162375,156272,6103,455013
267,"Olivetti, Albano",158819,2471,156348,725278
268,"Kypson, Patrick",157979,156620,1359,269296
269,"Ritschard, Alexander",153238,149497,3741,465420
270,"Edmund, Kyle",152948,152948,0,6020641
271,"Sweeny, Dane",152550,133987,18563,307886
272,"De Loore, Joris",152404,149440,2964,419793
273,"Escoffier, Antoine",152326,143144,9182,386995
274,"Navone, Mariano",151118,147657,3461,204402
275,"Agamenone, Franco",150658,144619,6039,491000
276,"Travaglia, Stefano",149970,141710,8260,2322038
277,"Trungelliti, Marco",146916,142475,4441,1580035
278,"Collarini, Andrea",146065,137564,8501,704230
279,"Pavlasek, Adam",144665,0,144665,847400
280,"Demoliner, Marcelo",143793,0,143793,1302366
281,"Bolt, Alex",143710,110716,32994,1542936
282,"Carreno Busta, Pablo",143059,143059,0,15249901
283,"Maestrelli, Francesco",142162,133947,8215,237986
284,"Quinn, Ethan",141624,123030,18594,208250
285,"Sock, Jack",141462,59960,81502,11952110
286,"Galarneau, Alexis",141143,129955,11188,255591
287,"Tu, Li",141035,125037,15998,324594
288,"Kukushkin, Mikhail",137204,134424,2780,6918446
289,"Onclin, Gauthier",135619,133144,2475,190305
290,"Farah, Robert",135308,0,135308,4924608
291,"Goransson, Andre",135152,0,135152,443181
292,"Andreozzi, Guido",134962,67724,67238,1478130
293,"Llamas Ruiz, Pablo",134201,131638,2563,175730
294,"Comesana, Francisco",130864,128448,2416,217867
